id	day
cell_0	0
cell_1	0
cell_2	0
cell_3	0
cell_4	0
cell_5	0
cell_6	0
cell_7	0
cell_8	0
cell_9	0
cell_10	0
cell_11	0
cell_12	0
cell_13	0
cell_14	0
cell_15	0
cell_16	0
cell_17	0
cell_18	0
cell_19	0
cell_20	0
cell_21	0
cell_22	0
cell_23	0
cell_24	0
cell_25	0
cell_26	0
cell_27	0
cell_28	0
cell_29	0
cell_30	0
cell_31	0
cell_32	0
cell_33	0
cell_34	0
cell_35	0
cell_36	0
cell_37	0
cell_38	0
cell_39	0
cell_40	0
cell_41	0
cell_42	0
cell_43	0
cell_44	0
cell_45	0
cell_46	0
cell_47	0
cell_48	0
cell_49	0
cell_50	0
cell_51	0
cell_52	0
cell_53	0
cell_54	0
cell_55	0
cell_56	0
cell_57	0
cell_58	0
cell_59	0
cell_60	0
cell_61	0
cell_62	0
cell_63	0
cell_64	0
cell_65	0
cell_66	0
cell_67	0
cell_68	0
cell_69	0
cell_70	0
cell_71	0
cell_72	0
cell_73	0
cell_74	0
cell_75	0
cell_76	0
cell_77	0
cell_78	0
cell_79	0
cell_80	0
cell_81	0
cell_82	0
cell_83	0
cell_84	0
cell_85	0
cell_86	0
cell_87	0
cell_88	0
cell_89	0
cell_90	0
cell_91	0
cell_92	1
cell_93	1
cell_94	1
cell_95	1
cell_96	1
cell_97	1
cell_98	1
cell_99	1
cell_100	1
cell_101	1
cell_102	1
cell_103	1
cell_104	1
cell_105	1
cell_106	1
cell_107	1
cell_108	1
cell_109	1
cell_110	1
cell_111	1
cell_112	1
cell_113	1
cell_114	1
cell_115	1
cell_116	1
cell_117	1
cell_118	1
cell_119	1
cell_120	1
cell_121	1
cell_122	1
cell_123	1
cell_124	1
cell_125	1
cell_126	1
cell_127	1
cell_128	1
cell_129	1
cell_130	1
cell_131	1
cell_132	1
cell_133	1
cell_134	1
cell_135	1
cell_136	1
cell_137	1
cell_138	1
cell_139	1
cell_140	1
cell_141	1
cell_142	1
cell_143	1
cell_144	1
cell_145	1
cell_146	1
cell_147	1
cell_148	1
cell_149	1
cell_150	1
cell_151	1
cell_152	1
cell_153	1
cell_154	1
cell_155	1
cell_156	1
cell_157	1
cell_158	1
cell_159	1
cell_160	1
cell_161	1
cell_162	1
cell_163	1
cell_164	1
cell_165	1
cell_166	1
cell_167	1
cell_168	1
cell_169	1
cell_170	1
cell_171	1
cell_172	1
cell_173	1
cell_174	1
cell_175	1
cell_176	1
cell_177	1
cell_178	1
cell_179	1
cell_180	1
cell_181	1
